Rank,Team,Points,Conference,Change,Year,Season,Gender,Division,Description
24,WASHINGTON STATE,539.0,Pac-12,▼10(LW: 14),2017,Cross Country,Men,I,FINAL - November 18th
25,MICHIGAN STATE,590.0,Big Ten,▼5(LW: 20),2017,Cross Country,Men,I,FINAL - November 18th
26,FURMAN,603.0,SoCon,NR,2017,Cross Country,Men,I,FINAL - November 18th
27,UTAH STATE,603.0,Mountain West,NR,2017,Cross Country,Men,I,FINAL - November 18th
28,PRINCETON,620.0,Ivy League,NR,2017,Cross Country,Men,I,FINAL - November 18th
29,OKLAHOMA STATE,637.0,Big 12,▼17(LW: 12),2017,Cross Country,Men,I,FINAL - November 18th
30,TEXAS,759.0,Big 12,◀▶(LW: 30),2017,Cross Country,Men,I,FINAL - November 18th
31,NAVY,855.0,Patriot,▼5(LW: 26),2017,Cross Country,Men,I,FINAL - November 18th
1,NEW MEXICO,90.0,Mountain West,▲6(LW: 7),2017,Cross Country,Women,I,FINAL - November 18th
2,SAN FRANCISCO,105.0,West Coast,▲4(LW: 6),2017,Cross Country,Women,I,FINAL - November 18th
3,COLORADO,139.0,Pac-12,◀▶(LW: 3),2017,Cross Country,Women,I,FINAL - November 18th
4,STANFORD,165.0,Pac-12,▲1(LW: 5),2017,Cross Country,Women,I,FINAL - November 18th
5,OREGON,203.0,Pac-12,▼4(LW: 1),2017,Cross Country,Women,I,FINAL - November 18th
6,BOISE STATE,264.0,Mountain West,NR,2017,Cross Country,Women,I,FINAL - November 18th
7,FURMAN,271.0,SoCon,NR,2017,Cross Country,Women,I,FINAL - November 18th
8,NC STATE,280.0,ACC,▼4(LW: 4),2017,Cross Country,Women,I,FINAL - November 18th
9,MICHIGAN,295.0,Big Ten,▼7(LW: 2),2017,Cross Country,Women,I,FINAL - November 18th
10,WISCONSIN,318.0,Big Ten,▲4(LW: 14),2017,Cross Country,Women,I,FINAL - November 18th
11,BYU,342.0,West Coast,▼1(LW: 10),2017,Cross Country,Women,I,FINAL - November 18th
12,VILLANOVA,346.0,Big East,▲9(LW: 21),2017,Cross Country,Women,I,FINAL - November 18th
13,ARKANSAS,377.0,SEC,▲6(LW: 19),2017,Cross Country,Women,I,FINAL - November 18th
14,UTAH STATE,395.0,Mountain West,NR,2017,Cross Country,Women,I,FINAL - November 18th
15,MICHIGAN STATE,395.0,Big Ten,▼7(LW: 8),2017,Cross Country,Women,I,FINAL - November 18th
16,PROVIDENCE,400.0,Big East,▼3(LW: 13),2017,Cross Country,Women,I,FINAL - November 18th
17,GEORGIA,411.0,SEC,NR,2017,Cross Country,Women,I,FINAL - November 18th
18,PENN STATE,443.0,Big Ten,◀▶(LW: 18),2017,Cross Country,Women,I,FINAL - November 18th
19,MINNESOTA,488.0,Big Ten,NR,2017,Cross Country,Women,I,FINAL - November 18th
20,IOWA STATE,508.0,Big 12,▲9(LW: 29),2017,Cross Country,Women,I,FINAL - November 18th
21,WASHINGTON,513.0,Pac-12,▼9(LW: 12),2017,Cross Country,Women,I,FINAL - November 18th
22,CALIFORNIA,530.0,Pac-12,NR,2017,Cross Country,Women,I,FINAL - November 18th
23,EASTERN KENTUCKY,537.0,Ohio Valley,NR,2017,Cross Country,Women,I,FINAL - November 18th
24,INDIANA,562.0,Big Ten,NR,2017,Cross Country,Women,I,FINAL - November 18th
25,OLE MISS,571.0,SEC,▼2(LW: 23),2017,Cross Country,Women,I,FINAL - November 18th
26,SYRACUSE,582.0,ACC,NR,2017,Cross Country,Women,I,FINAL - November 18th
27,EASTERN MICHIGAN,603.0,Mid-American,▼18(LW: 9),2017,Cross Country,Women,I,FINAL - November 18th
28,COLUMBIA,672.0,Ivy League,NR,2017,Cross Country,Women,I,FINAL - November 18th
29,DARTMOUTH,745.0,Ivy League,NR,2017,Cross Country,Women,I,FINAL - November 18th
30,OKLAHOMA STATE,748.0,Big 12,▼13(LW: 17),2017,Cross Country,Women,I,FINAL - November 18th
31,TEXAS,788.0,Big 12,NR,2017,Cross Country,Women,I,FINAL - November 18th
1,NORTHERN ARIZONA,125.0,Big Sky,NR,2016,Cross Country,Men,I,FINAL - November 19th
2,STANFORD,158.0,Pac-12,▲1(LW: 3),2016,Cross Country,Men,I,FINAL - November 19th
3,SYRACUSE,164.0,ACC,▼2(LW: 1),2016,Cross Country,Men,I,FINAL - November 19th
4,OLE MISS,196.0,SEC,▲26(LW: 30),2016,Cross Country,Men,I,FINAL - November 19th
5,ARKANSAS,206.0,SEC,▲1(LW: 6),2016,Cross Country,Men,I,FINAL - November 19th
6,COLORADO,223.0,Pac-12,▼4(LW: 2),2016,Cross Country,Men,I,FINAL - November 19th
7,BYU,247.0,WCC,▲5(LW: 12),2016,Cross Country,Men,I,FINAL - November 19th
8,WISCONSIN,256.0,Big Ten,NR,2016,Cross Country,Men,I,FINAL - November 19th
9,OREGON,282.0,Pac-12,▼5(LW: 4),2016,Cross Country,Men,I,FINAL - November 19th
10,IONA,319.0,Metro Atlantic,▼5(LW: 5),2016,Cross Country,Men,I,FINAL - November 19th
11,TULSA,340.0,American,▲9(LW: 20),2016,Cross Country,Men,I,FINAL - November 19th
12,OKLAHOMA STATE,363.0,Big 12,▲6(LW: 18),2016,Cross Country,Men,I,FINAL - November 19th
13,PORTLAND,368.0,WCC,NR,2016,Cross Country,Men,I,FINAL - November 19th
14,WASHINGTON STATE,370.0,Pac-12,▲12(LW: 26),2016,Cross Country,Men,I,FINAL - November 19th
15,UCLA,378.0,Pac-12,▼1(LW: 14),2016,Cross Country,Men,I,FINAL - November 19th
16,IOWA STATE,384.0,Big 12,NR,2016,Cross Country,Men,I,FINAL - November 19th
17,COLORADO STATE,388.0,Mountain West,NR,2016,Cross Country,Men,I,FINAL - November 19th
18,VIRGINIA,476.0,ACC,▲4(LW: 22),2016,Cross Country,Men,I,FINAL - November 19th
19,BOISE STATE,478.0,Mountain West,▼3(LW: 16),2016,Cross Country,Men,I,FINAL - November 19th
20,MICHIGAN STATE,504.0,Big Ten,▲5(LW: 25),2016,Cross Country,Men,I,FINAL - November 19th
21,GEORGETOWN,534.0,Big East,▼11(LW: 10),2016,Cross Country,Men,I,FINAL - November 19th
22,NC STATE,543.0,ACC,▲6(LW: 28),2016,Cross Country,Men,I,FINAL - November 19th
23,ILLINOIS,564.0,Big Ten,NR,2016,Cross Country,Men,I,FINAL - November 19th
24,PROVIDENCE,611.0,Big East,NR,2016,Cross Country,Men,I,FINAL - November 19th
25,DARTMOUTH,621.0,Ivy League,NR,2016,Cross Country,Men,I,FINAL - November 19th
26,NAVY,622.0,Patriot,NR,2016,Cross Country,Men,I,FINAL - November 19th
27,SOUTHERN UTAH,629.0,Big Sky,▼6(LW: 21),2016,Cross Country,Men,I,FINAL - November 19th
28,MIDDLE TENNESSEE,697.0,Conference USA,NR,2016,Cross Country,Men,I,FINAL - November 19th
29,UTEP,707.0,Conference USA,▼18(LW: 11),2016,Cross Country,Men,I,FINAL - November 19th
30,TEXAS,736.0,Big 12,▲1(LW: 31),2016,Cross Country,Men,I,FINAL - November 19th
31,CALIFORNIA,776.0,Pac-12,▼8(LW: 23),2016,Cross Country,Men,I,FINAL - November 19th
1,OREGON,125.0,Pac-12,▲2(LW: 3),2016,Cross Country,Women,I,FINAL - November 19th
2,MICHIGAN,126.0,Big Ten,▲4(LW: 6),2016,Cross Country,Women,I,FINAL - November 19th
3,COLORADO,134.0,Pac-12,▼1(LW: 2),2016,Cross Country,Women,I,FINAL - November 19th
4,NC STATE,223.0,ACC,▲1(LW: 5),2016,Cross Country,Women,I,FINAL - November 19th
5,STANFORD,255.0,Pac-12,▲9(LW: 14),2016,Cross Country,Women,I,FINAL - November 19th
6,SAN FRANCISCO,307.0,WCC,▲22(LW: 28),2016,Cross Country,Women,I,FINAL - November 19th
7,NEW MEXICO,310.0,Mountain West,▼6(LW: 1),2016,Cross Country,Women,I,FINAL - November 19th
8,MICHIGAN STATE,314.0,Big Ten,▲5(LW: 13),2016,Cross Country,Women,I,FINAL - November 19th
9,EASTERN MICHIGAN,316.0,Mid-American,NR,2016,Cross Country,Women,I,FINAL - November 19th
10,BYU,328.0,WCC,▲13(LW: 23),2016,Cross Country,Women,I,FINAL - November 19th
11,NOTRE DAME,338.0,ACC,▼3(LW: 8),2016,Cross Country,Women,I,FINAL - November 19th
12,WASHINGTON,352.0,Pac-12,▼2(LW: 10),2016,Cross Country,Women,I,FINAL - November 19th
13,PROVIDENCE,399.0,Big East,▼9(LW: 4),2016,Cross Country,Women,I,FINAL - November 19th
14,WISCONSIN,451.0,Big Ten,NR,2016,Cross Country,Women,I,FINAL - November 19th
15,MISSISSIPPI STATE,459.0,SEC,▲2(LW: 17),2016,Cross Country,Women,I,FINAL - November 19th
16,MISSOURI,459.0,SEC,NR,2016,Cross Country,Women,I,FINAL - November 19th
17,OKLAHOMA STATE,465.0,Big 12,▼10(LW: 7),2016,Cross Country,Women,I,FINAL - November 19th
18,PENN STATE,465.0,Big Ten,▼2(LW: 16),2016,Cross Country,Women,I,FINAL - November 19th
19,ARKANSAS,476.0,SEC,▼10(LW: 9),2016,Cross Country,Women,I,FINAL - November 19th
20,UTAH,493.0,Pac-12,▲6(LW: 26),2016,Cross Country,Women,I,FINAL - November 19th
21,VILLANOVA,505.0,Big East,▲9(LW: 30),2016,Cross Country,Women,I,FINAL - November 19th
22,PORTLAND,509.0,WCC,NR,2016,Cross Country,Women,I,FINAL - November 19th
23,OLE MISS,514.0,SEC,NR,2016,Cross Country,Women,I,FINAL - November 19th
24,PENN,520.0,Ivy League,NR,2016,Cross Country,Women,I,FINAL - November 19th
25,AIR FORCE,527.0,Mountain West,NR,2016,Cross Country,Women,I,FINAL - November 19th
26,HARVARD,551.0,Ivy League,NR,2016,Cross Country,Women,I,FINAL - November 19th
27,BAYLOR,586.0,Big 12,NR,2016,Cross Country,Women,I,FINAL - November 19th
28,UCLA,596.0,Pac-12,NR,2016,Cross Country,Women,I,FINAL - November 19th
29,IOWA STATE,608.0,Big 12,▼5(LW: 24),2016,Cross Country,Women,I,FINAL - November 19th
30,YALE,661.0,Ivy League,NR,2016,Cross Country,Women,I,FINAL - November 19th
31,LOUISVILLE,788.0,ACC,NR,2016,Cross Country,Women,I,FINAL - November 19th
1,SYRACUSE,82.0,ACC,▲4(LW: 5),2015,Cross Country,Men,I,FINAL - November 21st
2,COLORADO,91.0,Pac-12,▼1(LW: 1),2015,Cross Country,Men,I,FINAL - November 21st
3,STANFORD,151.0,Pac-12,▼1(LW: 2),2015,Cross Country,Men,I,FINAL - November 21st
4,OREGON,183.0,Pac-12,▲2(LW: 6),2015,Cross Country,Men,I,FINAL - November 21st
5,IONA,231.0,Metro Atlantic,▲3(LW: 8),2015,Cross Country,Men,I,FINAL - November 21st
6,ARKANSAS,244.0,SEC,▲22(LW: 28),2015,Cross Country,Men,I,FINAL - November 21st
7,LOUISVILLE,331.0,ACC,NR,2015,Cross Country,Men,I,FINAL - November 21st
8,WASHINGTON,345.0,Pac-12,▲12(LW: 20),2015,Cross Country,Men,I,FINAL - November 21st
9,MICHIGAN,348.0,Big Ten,▲2(LW: 11),2015,Cross Country,Men,I,FINAL - November 21st
10,GEORGETOWN,352.0,Big East,▲7(LW: 17),2015,Cross Country,Men,I,FINAL - November 21st
11,UTEP,354.0,Conference USA,▲16(LW: 27),2015,Cross Country,Men,I,FINAL - November 21st
12,BYU,406.0,WCC,▲4(LW: 16),2015,Cross Country,Men,I,FINAL - November 21st
13,FURMAN,423.0,SoCon,▲17(LW: 30),2015,Cross Country,Men,I,FINAL - November 21st
14,UCLA,429.0,Pac-12,▲4(LW: 18),2015,Cross Country,Men,I,FINAL - November 21st
15,OKLAHOMA,432.0,Big 12,NR,2015,Cross Country,Men,I,FINAL - November 21st
16,BOISE STATE,435.0,Mountain West,NR,2015,Cross Country,Men,I,FINAL - November 21st
17,EASTERN KENTUCKY,446.0,OVC,▲6(LW: 23),2015,Cross Country,Men,I,FINAL - November 21st
18,OKLAHOMA STATE,450.0,Big 12,▼9(LW: 9),2015,Cross Country,Men,I,FINAL - November 21st
19,MINNESOTA,464.0,Big Ten,NR,2015,Cross Country,Men,I,FINAL - November 21st
20,TULSA,468.0,American,▲5(LW: 25),2015,Cross Country,Men,I,FINAL - November 21st
21,SOUTHERN UTAH,477.0,Big Sky,▲1(LW: 22),2015,Cross Country,Men,I,FINAL - November 21st
22,VIRGINIA,480.0,ACC,▼1(LW: 21),2015,Cross Country,Men,I,FINAL - November 21st
23,CALIFORNIA,524.0,Pac-12,NR,2015,Cross Country,Men,I,FINAL - November 21st
24,PENN,526.0,Ivy League,NR,2015,Cross Country,Men,I,FINAL - November 21st
25,MICHIGAN STATE,543.0,Big Ten,▼1(LW: 24),2015,Cross Country,Men,I,FINAL - November 21st
26,WASHINGTON STATE,547.0,Pac-12,NR,2015,Cross Country,Men,I,FINAL - November 21st
27,VIRGINIA TECH,581.0,ACC,NR,2015,Cross Country,Men,I,FINAL - November 21st
28,NC STATE,596.0,ACC,NR,2015,Cross Country,Men,I,FINAL - November 21st
29,FLORIDA STATE,598.0,ACC,▲2(LW: 31),2015,Cross Country,Men,I,FINAL - November 21st
30,OLE MISS,607.0,SEC,▼1(LW: 29),2015,Cross Country,Men,I,FINAL - November 21st
31,TEXAS,833.0,Big 12,▼5(LW: 26),2015,Cross Country,Men,I,FINAL - November 21st
1,NEW MEXICO,49.0,Mountain West,▲2(LW: 3),2015,Cross Country,Women,I,FINAL - November 21st
2,COLORADO,129.0,Pac-12,▲5(LW: 7),2015,Cross Country,Women,I,FINAL - November 21st
3,OREGON,214.0,Pac-12,▲3(LW: 6),2015,Cross Country,Women,I,FINAL - November 21st
4,PROVIDENCE,231.0,Big East,▲9(LW: 13),2015,Cross Country,Women,I,FINAL - November 21st
5,NC STATE,264.0,ACC,▲11(LW: 16),2015,Cross Country,Women,I,FINAL - November 21st
6,MICHIGAN,264.0,Big Ten,▲12(LW: 18),2015,Cross Country,Women,I,FINAL - November 21st
7,OKLAHOMA STATE,274.0,Big 12,NR,2015,Cross Country,Women,I,FINAL - November 21st
8,NOTRE DAME,276.0,ACC,▲21(LW: 29),2015,Cross Country,Women,I,FINAL - November 21st
9,ARKANSAS,276.0,SEC,▼4(LW: 5),2015,Cross Country,Women,I,FINAL - November 21st
10,WASHINGTON,297.0,Pac-12,▲13(LW: 23),2015,Cross Country,Women,I,FINAL - November 21st
11,BOISE STATE,330.0,Mountain West,◀▶(LW: 11),2015,Cross Country,Women,I,FINAL - November 21st
12,SYRACUSE,359.0,ACC,▲12(LW: 24),2015,Cross Country,Women,I,FINAL - November 21st
13,MICHIGAN STATE,368.0,Big Ten,▼12(LW: 1),2015,Cross Country,Women,I,FINAL - November 21st
14,STANFORD,379.0,Pac-12,◀▶(LW: 14),2015,Cross Country,Women,I,FINAL - November 21st
15,VIRGINIA,386.0,ACC,◀▶(LW: 15),2015,Cross Country,Women,I,FINAL - November 21st
16,PENN STATE,396.0,Big Ten,NR,2015,Cross Country,Women,I,FINAL - November 21st
17,MISSISSIPPI STATE,405.0,SEC,NR,2015,Cross Country,Women,I,FINAL - November 21st
18,MINNESOTA,471.0,Big Ten,▲13(LW: 31),2015,Cross Country,Women,I,FINAL - November 21st
19,VANDERBILT,474.0,SEC,▲9(LW: 28),2015,Cross Country,Women,I,FINAL - November 21st
20,GEORGETOWN,491.0,Big East,▼16(LW: 4),2015,Cross Country,Women,I,FINAL - November 21st
21,PRINCETON,524.0,Ivy League,NR,2015,Cross Country,Women,I,FINAL - November 21st
22,WEBER STATE,558.0,Big Sky,NR,2015,Cross Country,Women,I,FINAL - November 21st
23,BYU,591.0,WCC,NR,2015,Cross Country,Women,I,FINAL - November 21st
24,IOWA STATE,591.0,Big 12,▼22(LW: 2),2015,Cross Country,Women,I,FINAL - November 21st
25,GONZAGA,615.0,WCC,NR,2015,Cross Country,Women,I,FINAL - November 21st
26,UTAH,618.0,Pac-12,NR,2015,Cross Country,Women,I,FINAL - November 21st
27,KANSAS,625.0,Big 12,NR,2015,Cross Country,Women,I,FINAL - November 21st
28,SAN FRANCISCO,636.0,WCC,NR,2015,Cross Country,Women,I,FINAL - November 21st
29,TULSA,646.0,American,NR,2015,Cross Country,Women,I,FINAL - November 21st
30,VILLANOVA,667.0,Big East,NR,2015,Cross Country,Women,I,FINAL - November 21st
31,TEXAS,828.0,Big 12,NR,2015,Cross Country,Women,I,FINAL - November 21st
1,COLORADO,65.0,Pac-12,◀▶(LW: 1),2014,Cross Country,Men,I,FINAL - November 22nd
2,STANFORD,98.0,Pac-12,▲17(LW: 19),2014,Cross Country,Men,I,FINAL - November 22nd
3,PORTLAND,175.0,WCC,▲4(LW: 7),2014,Cross Country,Men,I,FINAL - November 22nd
4,NORTHERN ARIZONA,188.0,Big Sky,▼2(LW: 2),2014,Cross Country,Men,I,FINAL - November 22nd
5,SYRACUSE,206.0,ACC,▲5(LW: 10),2014,Cross Country,Men,I,FINAL - November 22nd
6,OREGON,221.0,Pac-12,▼1(LW: 5),2014,Cross Country,Men,I,FINAL - November 22nd
7,VILLANOVA,230.0,Big East,▲11(LW: 18),2014,Cross Country,Men,I,FINAL - November 22nd
8,IONA,270.0,Metro Atlantic,▼2(LW: 6),2014,Cross Country,Men,I,FINAL - November 22nd
9,OKLAHOMA STATE,296.0,Big 12,▼6(LW: 3),2014,Cross Country,Men,I,FINAL - November 22nd
10,WISCONSIN,335.0,Big Ten,▼1(LW: 9),2014,Cross Country,Men,I,FINAL - November 22nd
11,MICHIGAN,365.0,Big Ten,▲10(LW: 21),2014,Cross Country,Men,I,FINAL - November 22nd
12,NORTH CAROLINA,380.0,ACC,▲5(LW: 17),2014,Cross Country,Men,I,FINAL - November 22nd
13,PROVIDENCE,393.0,Big East,▲3(LW: 16),2014,Cross Country,Men,I,FINAL - November 22nd
14,NEW MEXICO,394.0,Mountain West,▼3(LW: 11),2014,Cross Country,Men,I,FINAL - November 22nd
15,INDIANA,416.0,Big Ten,▼7(LW: 8),2014,Cross Country,Men,I,FINAL - November 22nd
16,BYU,437.0,WCC,▼12(LW: 4),2014,Cross Country,Men,I,FINAL - November 22nd
17,GEORGETOWN,444.0,Big East,NR,2014,Cross Country,Men,I,FINAL - November 22nd
18,UCLA,454.0,Pac-12,NR,2014,Cross Country,Men,I,FINAL - November 22nd
19,COLORADO STATE,468.0,Mountain West,▲7(LW: 26),2014,Cross Country,Men,I,FINAL - November 22nd
20,WASHINGTON,479.0,Pac-12,NR,2014,Cross Country,Men,I,FINAL - November 22nd
21,VIRGINIA,502.0,ACC,▼8(LW: 13),2014,Cross Country,Men,I,FINAL - November 22nd
22,SOUTHERN UTAH,578.0,Big Sky,NR,2014,Cross Country,Men,I,FINAL - November 22nd
23,EASTERN KENTUCKY,579.0,OVC,▼8(LW: 15),2014,Cross Country,Men,I,FINAL - November 22nd
24,MICHIGAN STATE,583.0,Big Ten,NR,2014,Cross Country,Men,I,FINAL - November 22nd
25,TULSA,584.0,American,▲2(LW: 27),2014,Cross Country,Men,I,FINAL - November 22nd
26,TEXAS,615.0,Big 12,▼12(LW: 14),2014,Cross Country,Men,I,FINAL - November 22nd
27,UTEP,629.0,Conference USA,NR,2014,Cross Country,Men,I,FINAL - November 22nd
28,ARKANSAS,647.0,SEC,▼16(LW: 12),2014,Cross Country,Men,I,FINAL - November 22nd
29,OLE MISS,685.0,SEC,NR,2014,Cross Country,Men,I,FINAL - November 22nd
30,FURMAN,747.0,SoCon,NR,2014,Cross Country,Men,I,FINAL - November 22nd
31,FLORIDA STATE,822.0,ACC,NR,2014,Cross Country,Men,I,FINAL - November 22nd
1,MICHIGAN STATE,85.0,Big Ten,▲5(LW: 6),2014,Cross Country,Women,I,FINAL - November 22nd
2,IOWA STATE,147.0,Big 12,▲11(LW: 13),2014,Cross Country,Women,I,FINAL - November 22nd
3,NEW MEXICO,188.0,Mountain West,▲7(LW: 10),2014,Cross Country,Women,I,FINAL - November 22nd
4,GEORGETOWN,189.0,Big East,▲1(LW: 5),2014,Cross Country,Women,I,FINAL - November 22nd
5,ARKANSAS,209.0,SEC,▲10(LW: 15),2014,Cross Country,Women,I,FINAL - November 22nd
6,OREGON,249.0,Pac-12,▲8(LW: 14),2014,Cross Country,Women,I,FINAL - November 22nd
7,COLORADO,267.0,Pac-12,◀▶(LW: 7),2014,Cross Country,Women,I,FINAL - November 22nd
8,WEST VIRGINIA,277.0,Big 12,▲16(LW: 24),2014,Cross Country,Women,I,FINAL - November 22nd
9,IONA,377.0,Metro Atlantic,NR,2014,Cross Country,Women,I,FINAL - November 22nd
10,WISCONSIN,382.0,Big Ten,▲11(LW: 21),2014,Cross Country,Women,I,FINAL - November 22nd
11,BOISE STATE,392.0,Mountain West,NR,2014,Cross Country,Women,I,FINAL - November 22nd
12,FLORIDA STATE,393.0,ACC,▼4(LW: 8),2014,Cross Country,Women,I,FINAL - November 22nd
13,PROVIDENCE,401.0,Big East,▼12(LW: 1),2014,Cross Country,Women,I,FINAL - November 22nd
14,STANFORD,415.0,Pac-12,▼3(LW: 11),2014,Cross Country,Women,I,FINAL - November 22nd
15,VIRGINIA,433.0,ACC,▼6(LW: 9),2014,Cross Country,Women,I,FINAL - November 22nd
16,NC STATE,456.0,ACC,NR,2014,Cross Country,Women,I,FINAL - November 22nd
17,WILLIAM & MARY,463.0,Colonial,▼5(LW: 12),2014,Cross Country,Women,I,FINAL - November 22nd
18,MICHIGAN,474.0,Big Ten,▼14(LW: 4),2014,Cross Country,Women,I,FINAL - November 22nd
19,BAYLOR,479.0,Big 12,NR,2014,Cross Country,Women,I,FINAL - November 22nd
20,DARTMOUTH,508.0,Ivy League,▼4(LW: 16),2014,Cross Country,Women,I,FINAL - November 22nd
21,BOSTON COLLEGE,514.0,ACC,NR,2014,Cross Country,Women,I,FINAL - November 22nd
22,NORTH CAROLINA,515.0,ACC,NR,2014,Cross Country,Women,I,FINAL - November 22nd
23,WASHINGTON,559.0,Pac-12,▼6(LW: 17),2014,Cross Country,Women,I,FINAL - November 22nd
24,SYRACUSE,559.0,ACC,▼2(LW: 22),2014,Cross Country,Women,I,FINAL - November 22nd
25,VIRGINIA TECH,574.0,ACC,NR,2014,Cross Country,Women,I,FINAL - November 22nd
26,OHIO STATE,577.0,Big Ten,NR,2014,Cross Country,Women,I,FINAL - November 22nd
27,UCLA,582.0,Pac-12,NR,2014,Cross Country,Women,I,FINAL - November 22nd
28,VANDERBILT,598.0,SEC,▼1(LW: 27),2014,Cross Country,Women,I,FINAL - November 22nd
29,NOTRE DAME,609.0,ACC,◀▶(LW: 29),2014,Cross Country,Women,I,FINAL - November 22nd
30,TOLEDO,613.0,Mid-American,NR,2014,Cross Country,Women,I,FINAL - November 22nd
31,MINNESOTA,663.0,Big Ten,▼11(LW: 20),2014,Cross Country,Women,I,FINAL - November 22nd
1,COLORADO,149.0,Pac-12,▲2(LW: 3),2013,Cross Country,Men,I,FINAL - November 23rd
2,NORTHERN ARIZONA,169.0,Big Sky,▲2(LW: 4),2013,Cross Country,Men,I,FINAL - November 23rd
3,OKLAHOMA STATE,230.0,Big 12,▼2(LW: 1),2013,Cross Country,Men,I,FINAL - November 23rd
4,BYU,267.0,WCC,▲2(LW: 6),2013,Cross Country,Men,I,FINAL - November 23rd
5,OREGON,274.0,Pac-12,▲15(LW: 20),2013,Cross Country,Men,I,FINAL - November 23rd
6,IONA,284.0,Metro Atlantic,▲23(LW: 29),2013,Cross Country,Men,I,FINAL - November 23rd
7,PORTLAND,293.0,WCC,▲5(LW: 12),2013,Cross Country,Men,I,FINAL - November 23rd
8,INDIANA,306.0,Big Ten,▲10(LW: 18),2013,Cross Country,Men,I,FINAL - November 23rd
9,WISCONSIN,326.0,Big Ten,▼7(LW: 2),2013,Cross Country,Men,I,FINAL - November 23rd
10,SYRACUSE,329.0,ACC,▲5(LW: 15),2013,Cross Country,Men,I,FINAL - November 23rd
11,NEW MEXICO,334.0,Mountain West,▲10(LW: 21),2013,Cross Country,Men,I,FINAL - November 23rd
12,ARKANSAS,340.0,SEC,▼2(LW: 10),2013,Cross Country,Men,I,FINAL - November 23rd
13,VIRGINIA,370.0,ACC,▲1(LW: 14),2013,Cross Country,Men,I,FINAL - November 23rd
14,TEXAS,376.0,Big 12,▼5(LW: 9),2013,Cross Country,Men,I,FINAL - November 23rd
15,EASTERN KENTUCKY,380.0,OVC,▲9(LW: 24),2013,Cross Country,Men,I,FINAL - November 23rd
16,PROVIDENCE,396.0,Big East,NR,2013,Cross Country,Men,I,FINAL - November 23rd
17,NORTH CAROLINA,403.0,ACC,NR,2013,Cross Country,Men,I,FINAL - November 23rd
18,VILLANOVA,415.0,Big East,▲9(LW: 27),2013,Cross Country,Men,I,FINAL - November 23rd
19,STANFORD,417.0,Pac-12,▼3(LW: 16),2013,Cross Country,Men,I,FINAL - November 23rd
20,AIR FORCE,419.0,Mountain West,NR,2013,Cross Country,Men,I,FINAL - November 23rd
21,MICHIGAN,433.0,Big Ten,▲2(LW: 23),2013,Cross Country,Men,I,FINAL - November 23rd
22,PRINCETON,469.0,Ivy League,▼11(LW: 11),2013,Cross Country,Men,I,FINAL - November 23rd
23,NOTRE DAME,484.0,ACC,▲5(LW: 28),2013,Cross Country,Men,I,FINAL - November 23rd
24,DARTMOUTH,551.0,Ivy League,NR,2013,Cross Country,Men,I,FINAL - November 23rd
25,COLUMBIA,580.0,Ivy League,▼8(LW: 17),2013,Cross Country,Men,I,FINAL - November 23rd
26,COLORADO STATE,606.0,Mountain West,NR,2013,Cross Country,Men,I,FINAL - November 23rd
27,TULSA,628.0,Conference USA,▼20(LW: 7),2013,Cross Country,Men,I,FINAL - November 23rd
28,NC STATE,630.0,ACC,▼2(LW: 26),2013,Cross Country,Men,I,FINAL - November 23rd
29,FLORIDA,654.0,SEC,NR,2013,Cross Country,Men,I,FINAL - November 23rd
30,HARVARD,678.0,Ivy League,NR,2013,Cross Country,Men,I,FINAL - November 23rd
31,GEORGIA,690.0,SEC,▼12(LW: 19),2013,Cross Country,Men,I,FINAL - November 23rd
1,PROVIDENCE,141.0,Big East,▲1(LW: 2),2013,Cross Country,Women,I,FINAL - November 23rd
2,ARIZONA,197.0,Pac-12,▲4(LW: 6),2013,Cross Country,Women,I,FINAL - November 23rd
3,BUTLER,200.0,Big East,▲26(LW: 29),2013,Cross Country,Women,I,FINAL - November 23rd
4,MICHIGAN,215.0,Big Ten,▲1(LW: 5),2013,Cross Country,Women,I,FINAL - November 23rd
5,GEORGETOWN,226.0,Big East,▲7(LW: 12),2013,Cross Country,Women,I,FINAL - November 23rd
6,MICHIGAN STATE,236.0,Big Ten,▲10(LW: 16),2013,Cross Country,Women,I,FINAL - November 23rd
7,COLORADO,265.0,Pac-12,▲17(LW: 24),2013,Cross Country,Women,I,FINAL - November 23rd
8,FLORIDA STATE,278.0,ACC,▼4(LW: 4),2013,Cross Country,Women,I,FINAL - November 23rd
9,VIRGINIA,283.0,ACC,NR,2013,Cross Country,Women,I,FINAL - November 23rd
10,NEW MEXICO,301.0,Mountain West,◀▶(LW: 10),2013,Cross Country,Women,I,FINAL - November 23rd
11,STANFORD,322.0,Pac-12,▼8(LW: 3),2013,Cross Country,Women,I,FINAL - November 23rd
12,WILLIAM & MARY,326.0,Colonial,▲9(LW: 21),2013,Cross Country,Women,I,FINAL - November 23rd
13,IOWA STATE,333.0,Big 12,▼2(LW: 11),2013,Cross Country,Women,I,FINAL - November 23rd
14,OREGON,340.0,Pac-12,▼13(LW: 1),2013,Cross Country,Women,I,FINAL - November 23rd
15,ARKANSAS,340.0,SEC,▲3(LW: 18),2013,Cross Country,Women,I,FINAL - November 23rd
16,DARTMOUTH,369.0,Ivy League,NR,2013,Cross Country,Women,I,FINAL - November 23rd
